País,WMO,ICAO,Estação,Latitude,Longitude,Altitude
BZ,83827,SBFI,FOZ DO IGUACU (AEROPORTO),25.6,-54.48,180
BZ,83828,-,TOLEDO,-24.4,-53.73,550
BZ,83829,SBSJ,SAO JOSE DOS CAMPOS (AEROPORTO),23.22,-45.87,646
BZ,83830,-,CASCAVEL,-24.93,-53.43,760
BZ,83831,-,SAO MIGUEL IGUACU,-25.33,-54.25,290
BZ,83834,-,GUARAPUAVA,-25.4,-51.47,1.024
BZ,83836,-,IRATI,-25.47,-50.63,837
BZ,83837,SBGS,PONTA GROSSA,-25.1,-50.17,868
BZ,83839,-,CAMPO LARGO,-25.47,-49.43,922
BZ,83840,SBCT,CURITIBA (AEROPORTO),25.52,-49.17,908
BZ,83842,SBBI,CURITIBA,25.4,-49.23,924
BZ,83843,-,SANTO AMARO,-23.55,-46.33,746
BZ,83844,SBPG,PARANAGUA,25.52,-48.52,5
BZ,83845,-,CANANEIA,-25.02,-47.93,16
BZ,83846,-,JAMBEIRO,-23.25,-45.7,380
BZ,83848,-,BAIRRO ALTO,-23.47,-45.3,705
BZ,83849,-,CUNHA,-23.12,-45.13,967
BZ,83850,-,BORACEIA,-23.77,-45.8,870
BZ,83851,-,SOROCABA,-23.48,-47.43,645
BZ,83852,-,UBATUBA,-23.44,-45.07,3
BZ,83853,-,IPIRANGA (GUARUJA),-23.93,-46.3,1
BZ,83854,-,VILA DEODORO,-23.58,-46.6,789
BZ,83855,-,F DE HIGIENE,-22.57,-46.63,816
BZ,83856,-,SAO PAULO H F,-23.45,-46.65,775
BZ,83857,-,TREMEMBE,-22.97,-45.55,546
BZ,83858,-,XANXERE,-26.85,-52.4,841
BZ,83859,-,TUPI,-22.72,-47.55,550
BZ,83860,-,PALMAS-PR,-26.48,-51.98,1.090
BZ,83862,-,SAO MIGUEL DO OESTE,-26.78,-53.5,664
BZ,83864,-,PORTO UNIAO,-26.23,-51.07,778
BZ,83865,-,IRINEOPOLIS,-26.25,-50.8,777
BZ,83867,-,RIO NEGRO,-26.1,-49.8,824
BZ,83870,-,TIMBO,-26.83,-49.27,70
BZ,83871,-,BLUMENAU,-26.83,-49.09,18
BZ,83872,-,INDAIAL,-26.9,-49.22,68
BZ,83873,-,FRAIBURGO,-27.05,-50.93,1.145
BZ,83874,-,SAO FRANCISCO DO SUL,-26.25,-48.65,72
BZ,83876,-,SANTA ROSA,-27.9,-54.52,299
BZ,83881,-,IRAI,-27.18,-53.23,247
BZ,83883,SBCH,CHAPECO,27.13,-52.67,679
BZ,83885,-,MARCELINO RAMOS,-27.47,-51.9,383
BZ,83887,-,CAMPOS NOVOS,-27.38,-51.2,947
BZ,83889,-,MONTE CARLO,-27.2,-50.95,982
BZ,83891,-,LAGES,-27.82,-50.33,937
BZ,83894,-,BOM RETIRO,-27.78,-49.48,1.224
BZ,83895,-,ARVOREDO,-27.3,-48.35,20
BZ,83897,SBXF,FLORIANOPOLIS,-27.58,-48.57,2
BZ,83898,-,CAMBORIU,-27,-48.63,8
BZ,83899,SBFL,FLORIANOPOLIS (AEROPORTO),27.67,-48.53,5
BZ,83901,-,SAO BORJA,-28.65,-56.03,74
BZ,83904,-,JOACABA,-27.17,-51.55,776
BZ,83905,SBJV,JOINVILLE,26.22,-48.8,4
BZ,83907,-,SAO LUIZ GONZAGA,-28.4,-55.02,245
BZ,83909,-,SANTO ANGELO,-28.28,-54.17,322
BZ,83910,-,PANAMBI,-28.28,-53.48,470
BZ,83912,SBCL,CRUZ ALTA,-28.63,-53.6,464
BZ,83914,SBPF,PASSO FUNDO,28.25,-52.33,684
BZ,83915,-,GUAPORE,-28.92,-51.9,471
BZ,83916,-,LAGOA VERMELHA,-28.22,-51.5,830
BZ,83917,-,ANTONIO PRADO,-28.82,-51.28,700
BZ,83918,-,VACARIA,-28.55,-50.87,955
BZ,83919,-,BOM JESUS,-28.67,-50.43,1.048
BZ,83920,-,SAO JOAQUIM,-28.28,-49.92,1.402
BZ,83921,-,ARARANGUA,-28.88,-49.52,12
BZ,83922,-,ORLEANS,-28.33,-49.33,156
BZ,83923,-,URUSSANGA,-28.52,-49.32,48
BZ,83924,-,LAGUNA,-28.48,-48.8,31
BZ,83925,-,SANTA MARTA,-28.6,-48.82,45
BZ,83926,SBNF,NAVEGANTES (AEROPORTO),26.88,-48.65,5
BZ,83927,-,URUGUAIANA,-29.75,-57.08,62
BZ,83928,SBUG,URUGUAIANA (AEROPORTO),29.77,-57.02,74
BZ,83929,-,ITAQUI,-29.12,-56.53,76
BZ,83931,-,ALEGRETE,-29.68,-55.52,121
BZ,83932,-,IBIRUBA,-28.62,-53.12,394
